1562952543.0635576;+24.50;1012.34;38.97
1562953443.823872;+24.49;1012.18;38.89
1562954343.4135869;+24.47;1011.95;38.96
1562955243.1828904;+24.39;1011.98;38.94
1562956143.9586177;+24.36;1011.98;38.99
1562957043.717164;+24.26;1011.92;39.15
1562957943.577772;+24.25;1012.01;39.13
1562958843.3749485;+24.42;1011.98;38.98
1562959743.8132517;+24.45;1011.86;38.85
1562960643.6632924;+24.52;1011.81;38.74
1562961543.2467313;+24.57;1012.13;38.67
1562962443.8611615;+24.47;1012.25;38.84
1562963343.459406;+24.41;1012.30;38.97
1562964243.2194304;+24.36;1012.26;39.00
1562965143.6329918;+24.26;1012.31;39.14
1562966043.4002013;+24.17;1012.27;39.28
1562966943.0643375;+24.11;1012.28;39.36
1562967843.8385775;+24.08;1012.58;39.47
1562968743.5926127;+24.02;1012.62;39.50
1562974263.0205886;+23.71;1013.10;39.86
1562977863.6723785;+23.58;1013.37;40.15
1562981463.1665514;+23.56;1013.40;40.11
1562985063.7337315;+23.45;1013.47;40.29
1562988663.355708;+23.39;1013.78;40.37
1562991243.9111793;+23.33;1014.08;40.47
1562992143.5687618;+23.34;1014.17;40.41
1562993043.0492222;+23.34;1014.27;40.39
1562993943.7857814;+23.32;1014.30;40.37
1562994843.5312638;+23.26;1014.32;40.40
1562995743.064246;+23.28;1014.51;40.54
1562996643.8479574;+23.27;1014.62;40.55
1562997543.6314974;+23.26;1014.66;40.88
1562998443.3836708;+23.25;1014.76;40.82
1562999343.1042132;+23.27;1014.90;40.87
1563000243.0742147;+23.42;1015.05;40.90
1563001143.9136775;+23.60;1015.25;40.84
1563002043.2757404;+23.60;1015.36;41.11
1563002943.0712287;+23.58;1015.42;40.88
1563003843.54288;+23.59;1015.41;41.34
1563004743.3934968;+23.79;1015.37;40.38
1563005643.9275265;+23.94;1015.57;40.11
1563006543.693434;+24.01;1015.74;40.02
1563007443.5932245;+24.01;1015.88;39.92
1563008343.2861311;+24.02;1016.01;39.86
1563009243.5759609;+24.02;1016.07;39.84
1563010143.7113795;+24.09;1016.16;39.65
1563011043.2942855;+24.06;1016.33;39.78
1563011943.1472802;+23.92;1016.43;39.92
1563012843.6685905;+23.80;1016.50;39.97
1563013743.2053392;+23.75;1016.50;40.13
1563014643.01816;+23.73;1016.85;40.07
1563015543.5862324;+23.64;1016.74;40.20
1563016443.1749384;+23.58;1016.79;40.24
1563017343.9675128;+23.59;1016.81;40.23
1563018243.4696946;+23.52;1016.91;40.35
1563019143.1557589;+23.50;1016.87;40.36
1563020043.9096835;+23.62;1016.90;40.22
1563020943.503698;+23.76;1016.82;40.02
1563021843.1641288;+23.89;1016.89;40.17
1563022743.852203;+24.03;1016.89;40.06
1563023642.9802008;+24.13;1016.84;40.08
1563024543.3305914;+24.09;1016.86;40.30
1563025442.9977713;+24.08;1016.87;40.41
1563026343.486342;+24.10;1016.82;40.41
1563027243.1683784;+24.14;1016.97;40.42
1563028143.609826;+24.28;1016.88;40.19
1563029043.4796638;+24.23;1017.02;40.15
1563029466.087436;+24.17;1017.08;40.38
1563029513.4537902;+24.13;1017.09;40.43
1563029559.5871346;+24.16;1017.15;40.43
1563029640.7918456;+24.14;1017.03;40.34
1563029694.6615996;+24.18;1017.10;40.38
1563029720.584033;+24.20;1017.19;40.44
1563029747.6613598;+24.20;1017.09;40.39
1563029942.9666104;+24.28;1017.11;40.21
1563030843.7630408;+24.03;1017.06;40.85
1563031743.1733105;+24.04;1016.89;40.90
1563032643.882688;+23.97;1017.07;41.14
1563033543.673518;+23.96;1017.01;41.11
1563034443.4897327;+24.04;1017.02;40.83
1563035343.1154094;+24.01;1017.08;40.79
1563036243.8571622;+24.01;1017.09;40.81
1563037143.7222698;+24.07;1017.16;41.12
1563038043.5514584;+24.06;1017.06;41.14
1563038942.983633;+24.40;1016.98;41.07
